LruTailAge Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 25734,9648548326853514885,59781120,579599
alloc failed. 25735,9648548326853514885,59781120,579654
alloc failed. 25736,9648548326853514885,59781120,580071
alloc failed. 25739,9648548326853514885,59781120,580093
alloc failed. 25739,9648548326853514885,59781120,580096
alloc failed. 25773,7413373635665792176,51699712,585149
alloc failed. 25786,7413373635665792176,51699712,586616
alloc failed. 25789,9648548326853514885,59781120,585545
alloc failed. 25789,9648548326853514885,59781120,585592
alloc failed. 25790,9648548326853514885,59781120,585665
alloc failed. 25790,9648548326853514885,59781120,585743
alloc failed. 25791,9648548326853514885,59781120,585752
alloc failed. 25791,9648548326853514885,59781120,585777
alloc failed. 25791,9648548326853514885,59781120,585821
alloc failed. 25792,9648548326853514885,59781120,585851
alloc failed. 25792,9648548326853514885,59781120,586042
alloc failed. 25794,9648548326853514885,59781120,586079
alloc failed. 25794,9648548326853514885,59781120,586114
alloc failed. 25795,9648548326853514885,59781120,586120
alloc failed. 25797,9648548326853514885,59781120,586437
alloc failed. 25798,9648548326853514885,59781120,593152
alloc failed. 25799,7413373635665792176,51699712,587095
alloc failed. 25805,7413373635665792176,51699712,587255
alloc failed. 25806,7413373635665792176,51699712,594624
alloc failed. 25863,9648548326853514885,59781120,593153
alloc failed. 25865,9648548326853514885,59781120,593598
alloc failed. 25867,9648548326853514885,59781120,593796
alloc failed. 25869,9648548326853514885,59781120,593846
alloc failed. 25869,9648548326853514885,59781120,593875
alloc failed. 25869,9648548326853514885,59781120,603967
alloc failed. 25876,7413373635665792176,51699712,609070
hit ratio:0.679993,time:25919
alloc failed. 25965,9648548326853514885,59781120,603990
alloc failed. 25965,9648548326853514885,59781120,604016
alloc failed. 25967,9648548326853514885,59781120,604417
alloc failed. 25969,9648548326853514885,59781120,7543528
alloc failed. 25976,2321761394115506068,59695104,3568951
alloc failed. 26013,7413373635665792176,51699712,609136
alloc failed. 26014,7413373635665792176,51699712,609361
alloc failed. 26015,7413373635665792176,51699712,609714
alloc failed. 26018,7413373635665792176,51699712,613784
alloc failed. 26065,7413373635665792176,51699712,613817
alloc failed. 26067,7413373635665792176,51699712,621968
alloc failed. 26147,7413373635665792176,51699712,629992
alloc failed. 26224,7413373635665792176,51699712,633489
alloc failed. 26257,7413373635665792176,51699712,636227
alloc failed. 26285,1292603030144017616,57815040,712659
alloc failed. 26286,7413373635665792176,51699712,650659
alloc failed. 26291,6805884613536070016,64276480,636797
alloc failed. 26291,6805884613536070016,64276480,637751
alloc failed. 26301,6805884613536070016,64276480,639098
alloc failed. 26315,6805884613536070016,64276480,639390
alloc failed. 26318,6805884613536070016,64276480,639666
alloc failed. 26321,6805884613536070016,64276480,640638
alloc failed. 26331,6805884613536070016,64276480,640887
alloc failed. 26334,6805884613536070016,64276480,718601
alloc failed. 26433,7413373635665792176,51699712,656879
alloc failed. 26495,7413373635665792176,51699712,775528
alloc failed. 26588,9402220629041392200,60823552,667370
alloc failed. 26595,9402220629041392200,60823552,9223372036854775807
hit ratio:0.676476,time:26876
alloc failed. 26884,9423198261801172744,55967744,701092
alloc failed. 26893,9423198261801172744,55967744,701181
alloc failed. 26894,9423198261801172744,55967744,51006865
alloc failed. 26999,1292603030144017616,57815040,736164
